title,description,category_name,origin_word,related_words
キャッシュメモリの動作方式,キャッシュメモリの書き込み方式の違いを理解しよう,コンピュータシステム,ライトスルー方式,キャッシュと主記憶の両方に同時に書き込む。
キャッシュメモリの動作方式,キャッシュメモリの書き込み方式の違いを理解しよう,コンピュータシステム,ライトスルー方式,整合性が高い。
キャッシュメモリの動作方式,キャッシュメモリの書き込み方式の違いを理解しよう,コンピュータシステム,ライトバック方式,キャッシュ内のみ書き換えを行う。
キャッシュメモリの動作方式,キャッシュメモリの書き込み方式の違いを理解しよう,コンピュータシステム,ライトバック方式,後でまとめて主記憶に反映。書き込み速度が高い。
仮想記憶とページング,主記憶より大きなアドレス空間を扱う仮想記憶の仕組みを学ぼう,コンピュータシステム,ページング,仮想アドレス空間を固定長ブロック（ページ）単位で管理。
仮想記憶とページング,主記憶より大きなアドレス空間を扱う仮想記憶の仕組みを学ぼう,コンピュータシステム,ページフォールト,要求ページが主記憶に存在しない場合に発生。
仮想記憶とページング,主記憶より大きなアドレス空間を扱う仮想記憶の仕組みを学ぼう,コンピュータシステム,ページフォールト,補助記憶装置からデータを読み込む処理が必要。
仮想記憶とページング,主記憶より大きなアドレス空間を扱う仮想記憶の仕組みを学ぼう,コンピュータシステム,スワッピング,使用頻度の低いページを補助記憶に退避。
仮想記憶とページング,主記憶より大きなアドレス空間を扱う仮想記憶の仕組みを学ぼう,コンピュータシステム,スワッピング,必要に応じて主記憶に戻す。
メモリアクセス高速化技術,主記憶装置のアクセスを高速化する各種手法を学ぼう,コンピュータシステム,インターリーブ,複数のメモリバンクを並列動作させることでアクセスを分散。
メモリアクセス高速化技術,主記憶装置のアクセスを高速化する各種手法を学ぼう,コンピュータシステム,バーストアクセス,連続アドレスのデータをまとめて転送して効率化。
メモリアクセス高速化技術,主記憶装置のアクセスを高速化する各種手法を学ぼう,コンピュータシステム,プリフェッチ,将来必要になりそうなデータを事前にキャッシュに読み込む。
変数宣言の違い,JavaScriptの変数宣言の使い分けを理解しよう,JavaScript,var,再宣言が可能で関数スコープを持つ。
変数宣言の違い,JavaScriptの変数宣言の使い分けを理解しよう,JavaScript,let,再代入は可能でブロックスコープを持つ。
変数宣言の違い,JavaScriptの変数宣言の使い分けを理解しよう,JavaScript,const,再代入ができず不変の定数として利用。
変数宣言の違い,JavaScriptの変数宣言の使い分けを理解しよう,JavaScript,var,意図しない巻き上げ（hoisting）が起きやすい。
変数宣言の違い,JavaScriptの変数宣言の使い分けを理解しよう,JavaScript,let,constと比べて用途が広く実用的。
配列操作の基本,配列でよく使うメソッドを確認しよう,JavaScript,push,配列の末尾に要素を追加。
配列操作の基本,配列でよく使うメソッドを確認しよう,JavaScript,pop,配列の末尾の要素を削除。
配列操作の基本,配列でよく使うメソッドを確認しよう,JavaScript,shift,配列の先頭から要素を削除。
配列操作の基本,配列でよく使うメソッドを確認しよう,JavaScript,unshift,配列の先頭に要素を追加。
配列操作の基本,配列でよく使うメソッドを確認しよう,JavaScript,includes,特定の要素が含まれているか判定。
関数宣言と関数式,関数の定義方法の違いを理解しよう,JavaScript,関数宣言,functionキーワードで定義する一般的な関数。
関数宣言と関数式,関数の定義方法の違いを理解しよう,JavaScript,関数宣言,巻き上げにより宣言より前でも呼び出せる。
関数宣言と関数式,関数の定義方法の違いを理解しよう,JavaScript,関数式,変数に関数を代入して定義する形式。
関数宣言と関数式,関数の定義方法の違いを理解しよう,JavaScript,関数式,宣言より前には呼び出せない。
関数宣言と関数式,関数の定義方法の違いを理解しよう,JavaScript,アロー関数,短く書ける省略表現の関数。
アロー関数の特徴,アロー関数が従来の関数と異なる点を理解しよう,JavaScript,アロー関数,thisが静的に束縛される（レキシカルthis）。
アロー関数の特徴,アロー関数が従来の関数と異なる点を理解しよう,JavaScript,アロー関数,constructorとして使用できない。
アロー関数の特徴,アロー関数が従来の関数と異なる点を理解しよう,JavaScript,アロー関数,引数が1つなら括弧を省略できる。
アロー関数の特徴,アロー関数が従来の関数と異なる点を理解しよう,JavaScript,アロー関数,処理が1行ならreturnと{}を省略できる。
アロー関数の特徴,アロー関数が従来の関数と異なる点を理解しよう,JavaScript,アロー関数,可読性が高くコールバックで多用される。
非同期処理の基本,promiseとasync/awaitの違いを理解しよう,JavaScript,Promise,非同期処理の結果を表すオブジェクト。
非同期処理の基本,promiseとasync/awaitの違いを理解しよう,JavaScript,Promise,thenで連鎖して処理を記述。
非同期処理の基本,promiseとasync/awaitの違いを理解しよう,JavaScript,async関数,非同期関数を定義するキーワード。
非同期処理の基本,promiseとasync/awaitの違いを理解しよう,JavaScript,await,Promiseの完了を待って値を取り出せる。
非同期処理の基本,promiseとasync/awaitの違いを理解しよう,JavaScript,await,同期処理のように書けて読みやすい。
オブジェクトの基本,JavaScriptのオブジェクトの構造と扱い方を理解しよう,JavaScript,オブジェクト,キーと値のペアでデータを管理。
オブジェクトの基本,JavaScriptのオブジェクトの構造と扱い方を理解しよう,JavaScript,オブジェクト,ドット記法でプロパティへアクセス。
オブジェクトの基本,JavaScriptのオブジェクトの構造と扱い方を理解しよう,JavaScript,オブジェクト,ブラケット記法で動的アクセスが可能。
オブジェクトの基本,JavaScriptのオブジェクトの構造と扱い方を理解しよう,JavaScript,Object.keys,プロパティ名の一覧を取り出す。
オブジェクトの基本,JavaScriptのオブジェクトの構造と扱い方を理解しよう,JavaScript,Object.values,値の一覧を取り出す。
比較演算子の違い,== と === の違いを理解しよう,JavaScript,==,型変換したうえで比較が行われる。
比較演算子の違い,== と === の違いを理解しよう,JavaScript,===,型も値も一致しているかを比較。
比較演算子の違い,== と === の違いを理解しよう,JavaScript,==,予期せぬtrueが発生しやすい。
比較演算子の違い,== と === の違いを理解しよう,JavaScript,===,安全性が高く推奨される。
比較演算子の違い,== と === の違いを理解しよう,JavaScript,===,特に条件分岐では必須。
スプレッド構文,配列やオブジェクトを展開するスプレッド構文を学ぼう,JavaScript,...配列,配列を展開して個別の要素として扱える。
スプレッド構文,配列やオブジェクトを展開するスプレッド構文を学ぼう,JavaScript,...配列,新しい配列の作成に便利。
スプレッド構文,配列やオブジェクトを展開するスプレッド構文を学ぼう,JavaScript,...オブジェクト,オブジェクトをコピーする際に利用。
スプレッド構文,配列やオブジェクトを展開するスプレッド構文を学ぼう,JavaScript,...オブジェクト,複数のオブジェクトをマージできる。
スプレッド構文,配列やオブジェクトを展開するスプレッド構文を学ぼう,JavaScript,rest構文,関数引数をまとめるときにも利用される。
配列の反復処理,mapやforEachなど、よく使う反復処理を理解しよう,JavaScript,forEach,配列の各要素に対して処理を実行。
配列の反復処理,mapやforEachなど、よく使う反復処理を理解しよう,JavaScript,map,変換結果を新しい配列として返す。
配列の反復処理,mapやforEachなど、よく使う反復処理を理解しよう,JavaScript,filter,条件を満たす要素だけを抽出する。
配列の反復処理,mapやforEachなど、よく使う反復処理を理解しよう,JavaScript,reduce,配列を1つの値に集約する。
配列の反復処理,mapやforEachなど、よく使う反復処理を理解しよう,JavaScript,find,条件を満たす最初の要素を返す。
Stimulusコントローラーの基本,Stimulusコントローラーの構造と役割を理解しよう,JavaScript,import { Controller },@hotwired/stimulusからControllerクラスをインポート。
Stimulusコントローラーの基本,Stimulusコントローラーの構造と役割を理解しよう,JavaScript,export default class extends Controller,Controllerクラスを継承してコントローラーを定義。
Stimulusコントローラーの基本,Stimulusコントローラーの構造と役割を理解しよう,JavaScript,connect(),コントローラーが要素に接続されたときに実行される。
Stimulusコントローラーの基本,Stimulusコントローラーの構造と役割を理解しよう,JavaScript,disconnect(),コントローラーが要素から切り離されるときに実行される。
Stimulusターゲット,StimulusのTargetsを使ってDOM要素を取得しよう,Ruby on Rails,static targets,コントローラー内で使用するDOM要素を定義。
Stimulusターゲット,StimulusのTargetsを使ってDOM要素を取得しよう,Ruby on Rails,this.hasModalTarget,指定したターゲットが存在するか確認。
Stimulusターゲット,StimulusのTargetsを使ってDOM要素を取得しよう,Ruby on Rails,this.modalTarget,単一のターゲット要素を取得。
Stimulusターゲット,StimulusのTargetsを使ってDOM要素を取得しよう,Ruby on Rails,this.originCardTargets,複数のターゲット要素を配列として取得。
イベントリスナーの管理,イベントリスナーの登録と解除を適切に行おう,JavaScript,addEventListener,イベントリスナーを要素に登録。
イベントリスナーの管理,イベントリスナーの登録と解除を適切に行おう,JavaScript,removeEventListener,イベントリスナーを要素から削除。
イベントリスナーの管理,イベントリスナーの登録と解除を適切に行おう,JavaScript,bind(this),コンテキストを固定してメソッドを参照。
イベントリスナーの管理,イベントリスナーの登録と解除を適切に行おう,JavaScript,this.boundHandleSubmitEnd,bindしたメソッドを保存して後で削除可能に。
dataset属性の活用,HTML要素のdata属性から値を取得しよう,JavaScript,dataset.questionId,data-question-id属性の値を取得。
dataset属性の活用,HTML要素のdata属性から値を取得しよう,JavaScript,dataset.setId,data-set-id属性の値を取得。
dataset属性の活用,HTML要素のdata属性から値を取得しよう,JavaScript,this.data.get(),Stimulusのdata値を取得するメソッド。
DOMメソッド,DOM操作でよく使うメソッドを理解しよう,JavaScript,closest(),指定したセレクタに一致する最も近い祖先要素を取得。
DOMメソッド,DOM操作でよく使うメソッドを理解しよう,JavaScript,querySelector(),CSS セレクタに一致する最初の要素を取得。
DOMメソッド,DOM操作でよく使うメソッドを理解しよう,JavaScript,getElementById(),指定したIDを持つ要素を取得。
DOMメソッド,DOM操作でよく使うメソッドを理解しよう,JavaScript,contains(),指定した要素が子孫に含まれるか判定。
クラス操作,要素のクラスを動的に変更しよう,JavaScript,classList.add(),要素にクラスを追加。
クラス操作,要素のクラスを動的に変更しよう,JavaScript,classList.remove(),要素からクラスを削除。
クラス操作,要素のクラスを動的に変更しよう,JavaScript,classList.contains(),要素が指定したクラスを持つか判定。
クラス操作,要素のクラスを動的に変更しよう,JavaScript,className,要素のクラス全体を文字列で設定・取得。
Fetch APIの基本,Fetch APIで非同期通信を行おう,JavaScript,fetch(),非同期でHTTPリクエストを送信。
Fetch APIの基本,Fetch APIで非同期通信を行おう,JavaScript,method: 'POST',HTTPメソッドをPOSTに指定。
Fetch APIの基本,Fetch APIで非同期通信を行おう,JavaScript,headers,リクエストヘッダーを設定。
Fetch APIの基本,Fetch APIで非同期通信を行おう,JavaScript,Content-Type: application/json,JSON形式のデータを送信することを宣言。
Fetch APIの基本,Fetch APIで非同期通信を行おう,JavaScript,await response.json(),レスポンスボディをJSONとしてパース。
JSONの扱い,JSONデータの生成とパースを理解しよう,JavaScript,JSON.stringify(),JavaScriptオブジェクトをJSON文字列に変換。
JSONの扱い,JSONデータの生成とパースを理解しよう,JavaScript,response.json(),レスポンスをJSONオブジェクトに変換。
タイマー処理,setIntervalとsetTimeoutを使い分けよう,JavaScript,setInterval(),指定した間隔で繰り返し処理を実行。
タイマー処理,setIntervalとsetTimeoutを使い分けよう,JavaScript,setTimeout(),指定した時間後に1度だけ処理を実行。
タイマー処理,setIntervalとsetTimeoutを使い分けよう,JavaScript,clearInterval(),setIntervalで設定したタイマーを停止。
URL操作,URLオブジェクトでURLを操作しよう,JavaScript,new URL(),URLオブジェクトを生成。
URL操作,URLオブジェクトでURLを操作しよう,JavaScript,url.searchParams.set(),クエリパラメータを設定。
URL操作,URLオブジェクトでURLを操作しよう,JavaScript,url.toString(),URLオブジェクトを文字列に変換。
配列メソッドの活用,配列の検索とフィルタリングを使いこなそう,JavaScript,filter(),条件を満たす要素だけを抽出して新しい配列を作成。
配列メソッドの活用,配列の検索とフィルタリングを使いこなそう,JavaScript,find(),条件を満たす最初の要素を返す。
配列メソッドの活用,配列の検索とフィルタリングを使いこなそう,JavaScript,forEach(),配列の各要素に対して処理を実行（戻り値なし）。
文字列メソッド,文字列操作でよく使うメソッドを確認しよう,JavaScript,padStart(),文字列を指定した長さまで先頭を埋める。
文字列メソッド,文字列操作でよく使うメソッドを確認しよう,JavaScript,toString(),値を文字列に変換。
Setオブジェクト,Setで重複のないデータを管理しよう,JavaScript,new Set(),重複しない値のコレクションを作成。
Setオブジェクト,Setで重複のないデータを管理しよう,JavaScript,set.add(),Setに値を追加。
Setオブジェクト,Setで重複のないデータを管理しよう,JavaScript,set.has(),Setに指定した値が含まれるか判定。
エラーハンドリング,try-catchでエラーを適切に処理しよう,JavaScript,try-catch,エラーが発生する可能性のある処理を囲む。
エラーハンドリング,try-catchでエラーを適切に処理しよう,JavaScript,console.error(),エラーメッセージをコンソールに出力。
Turboとの連携,Turboのイベントを活用しよう,Ruby on Rails,turbo:submit-end,Turboフォーム送信完了時に発生するイベント。
Turboとの連携,Turboのイベントを活用しよう,Ruby on Rails,event.detail.success,フォーム送信が成功したか判定。
イベントリスナーの基本,イベント処理の基礎を理解する問題です,JavaScript,addEventListener,指定したイベントが発生したときに実行する関数を登録するメソッド。
イベントリスナーの基本,イベント処理の基礎を理解する問題です,JavaScript,clickイベント,ユーザーが要素をクリックしたときに発生するイベント。
イベントリスナーの基本,イベント処理の基礎を理解する問題です,JavaScript,イベントオブジェクト,event.target などの情報を持つオブジェクト。
イベント伝播の仕組み,イベントが伝わる順序を理解する問題です,JavaScript,キャプチャリング,イベントが外側から内側へ伝わる段階。
イベント伝播の仕組み,イベントが伝わる順序を理解する問題です,JavaScript,バブリング,イベントが内側から外側へ伝わる段階。
イベント伝播の仕組み,イベントが伝わる順序を理解する問題です,JavaScript,event.stopPropagation,イベント伝播を止めるメソッド。
DOM取得の基本,DOM操作の基礎となる要素の取得方法を学ぶ問題です,JavaScript,document.getElementById,IDを指定して要素を取得するメソッド。
DOM取得の基本,DOM操作の基礎となる要素の取得方法を学ぶ問題です,JavaScript,document.querySelector,CSSセレクタで最初の一致要素を取得。
DOM取得の基本,DOM操作の基礎となる要素の取得方法を学ぶ問題です,JavaScript,document.querySelectorAll,CSSセレクタに一致する要素をすべて取得。
DOM操作の基本,要素を追加・削除する処理を理解する問題です,JavaScript,appendChild,指定した要素に子要素を追加する。
DOM操作の基本,要素を追加・削除する処理を理解する問題です,JavaScript,removeChild,子要素をDOMから削除する。
DOM操作の基本,要素を追加・削除する処理を理解する問題です,JavaScript,innerHTML,HTML文字列として要素内容を書き換えるプロパティ。
CSS操作（スタイル変更）,DOMの style を使った操作を理解する問題です,JavaScript,element.style,要素のインラインスタイルを操作するためのプロパティ。
CSS操作（スタイル変更）,DOMの style を使った操作を理解する問題です,JavaScript,classList.add,クラスを追加して見た目を変更できる。
CSS操作（スタイル変更）,DOMの style を使った操作を理解する問題です,JavaScript,classList.toggle,クラスの付け外しを切り替える。
フォームイベントの基本,入力フォーム関連のイベント処理を学ぶ問題です,JavaScript,inputイベント,ユーザーが入力するたびに発生するイベント。
フォームイベントの基本,入力フォーム関連のイベント処理を学ぶ問題です,JavaScript,changeイベント,値が変更され確定したときに発生するイベント。
フォームイベントの基本,入力フォーム関連のイベント処理を学ぶ問題です,JavaScript,submitイベント,フォーム送信時に発生するイベント。
非同期とイベントループ,フロントで重要な非同期動作を理解する問題です,JavaScript,setTimeout,指定時間後に処理を実行するタイマー関数。
非同期とイベントループ,フロントで重要な非同期動作を理解する問題です,JavaScript,Promise,非同期処理を表すオブジェクト。
非同期とイベントループ,フロントで重要な非同期動作を理解する問題です,JavaScript,Event Loop,JavaScriptの非同期処理を管理する仕組み。
エラーハンドリングの基本,初心者向けの例外処理の基礎問題です,JavaScript,try...catch,エラーが発生したときの処理を記述する構文。
エラーハンドリングの基本,初心者向けの例外処理の基礎問題です,JavaScript,throw,意図的に例外を発生させる。
エラーハンドリングの基本,初心者向けの例外処理の基礎問題です,JavaScript,finally,エラーの有無にかかわらず最後に実行される処理。
イベント委譲,親要素で子要素のイベントをまとめて扱う問題です,JavaScript,イベント委譲,親要素にイベントリスナーを設定し効率的に処理する手法。
イベント委譲,親要素で子要素のイベントをまとめて扱う問題です,JavaScript,event.target,実際にイベントが発生した要素を参照できる。
DOM構築タイミング,DOMContentLoadedの役割を理解する問題です,JavaScript,DOMContentLoaded,DOM構築完了時に発火するイベント。
DOM構築タイミング,DOMContentLoadedの役割を理解する問題です,JavaScript,loadイベント,画像なども含め全リソース読み込み後に発火するイベント。